url,bilde,nosaukums,adrese,istabas,platiba,stavs,tips,cena
https://www.ss.com/msg/lv/real-estate/flats/jurmala/jaundubulti/bdpmcc.html,https://i.ss.com/gallery/6/1104/275974/55194677.th2.jpg,Pārdod modernu divistabu dzīvokli ar pilnu iekšējo apdari. Ē,JaundubultiKrišjāna Valdemāra 13,2,37,1/2,Jaun.,"Viens"
https://www.ss.com/msg/lv/real-estate/flats/jurmala/jaundubulti/beolfj.html,https://i.ss.com/gallery/7/1278/319448/63889597.th2.jpg,Moderns 3 istabu dzīvoklis Jūrmalā. Ēkas izsmalcinātais veid,JaundubultiKrišjāna Valdemāra 13,2,55,2/2,Renov.,160000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/jaundubulti/beolei.html,https://i.ss.com/gallery/6/1104/275974/55194675.th2.jpg,Moderns dzīvoklis Jūrmalā. Ēkas izsmalcinātais veidols lieli,JaundubultiKrišjāna Valdemāra 13,2,35,2/2,Renov.,75000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/cdxxk.html,https://i.ss.com/gallery/6/1136/283820/56763833.th2.jpg,Tiek pārdots 3-istabu dzīvokli 602 sērija ar balkonu. Gaiš,KauguriSkolas 27 8,3,62,2/9,602,61000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/nxmgg.html,https://i.ss.com/gallery/7/1278/319314/63862641.th2.jpg,Продает хозяин. Роскошная планировка это редкость большая пр,DzintariTurajdes 17,3,118,2/4,Jaun.,450000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/asari/bfhhxj.html,https://i.ss.com/gallery/7/1320/329907/65981231.th2.jpg,"Pārdod dzīvokli Asaros, 7 minūšu gājienā līdz jūrai. Mājā ir",AsariZemgales 34,2,66,1/3,Renov.,185000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/aedcp.html,https://i.ss.com/gallery/7/1337/334186/66837141.th2.jpg,Pārdošanā 3 istabu dzīvoklis labā lokācijā. Dzīvokļa plā,KauguriSkolas 57a,3,59,4/5,Hrušč.,44000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/gfpgj.html,https://i.ss.com/gallery/7/1284/320924/64184611.th2.jpg,"Pārdod gaišu, siltu dzīvokli Kauguros. Austrumu pusē. No",KauguriJurģu 6,1,41,1/5,M. ģim.,28500
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/bdnpdk.html,https://i.ss.com/gallery/7/1299/324605/64920881.th2.jpg,"Piedāvājam iegādāties elegantu, gaišu un aprīkotu divu istab",DzintariDzintaru pr. 11,2,170,3/7,Jaun.,895000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/bclhjc.html,https://i.ss.com/gallery/5/946/236483/47296532.th2.jpg,"Pārdod gaišu 2 istabu dzīvokli ar balkonu, labā stāvoklī, ar",DzintariJāņa Pliekšāna 92,2,39,5/5,LT proj.,69575
